,TROC Bull,average_return
0,The 1 ROC,0.9128908138089025
1,The 1 ROC,0.9128908138089025
2,The 1 ROC,0.9128908138089025
3,The 1 ROC,0.9128908138089025
4,The 1 ROC,0.9128908138089025
5,The 1 ROC,0.9128908138089025
6,The 1 ROC,0.9128908138089025
7,The 1 ROC,0.9128908138089025
8,The 1 ROC,0.9128908138089025
9,The 1 ROC,0.9128908138089025
10,The 1 ROC,0.9128908138089025
11,The 1 ROC,0.9128908138089025
12,The 1 ROC,0.9128908138089025
13,The 1 ROC,0.9128908138089025
14,The 1 ROC,0.9128908138089025
15,The 1 ROC,0.9128908138089025
16,The 1 ROC,0.9128908138089025
17,The 1 ROC,0.9128908138089025
18,The 1 ROC,0.9128908138089025
19,The 1 ROC,0.9128908138089025
20,The 1 ROC,0.9128908138089025
21,The 1 ROC,0.9128908138089025
22,The 1 ROC,0.9128908138089025
23,The 1 ROC,0.9128908138089025
24,The 1 ROC,0.9128908138089025
25,The 1 ROC,0.9128908138089025
26,The 1 ROC,0.9128908138089025
27,The 1 ROC,0.9128908138089025
28,The 1 ROC,0.9128908138089025
29,The 1 ROC,0.9128908138089025
30,The 1 ROC,0.9128908138089025
31,The 1 ROC,0.9128908138089025
32,The 1 ROC,0.9128908138089025
33,The 1 ROC,0.9128908138089025
34,The 1 ROC,0.9128908138089025
35,The 1 ROC,0.9128908138089025
36,The 1 ROC,0.9128908138089025
37,The 1 ROC,0.9128908138089025
38,The 1 ROC,0.9128908138089025
39,The 1 ROC,0.9128908138089025
40,The 1 ROC,0.9128908138089025
41,The 1 ROC,0.9128908138089025
42,The 1 ROC,0.9128908138089025
43,The 1 ROC,0.9128908138089025
44,The 1 ROC,0.9128908138089025
45,The 1 ROC,0.9128908138089025
46,The 1 ROC,0.9128908138089025
47,The 1 ROC,0.9128908138089025
48,The 1 ROC,0.9128908138089025
49,The 1 ROC,0.9128908138089025
50,The 1 ROC,0.9128908138089025
51,The 1 ROC,0.9128908138089025
52,The 1 ROC,0.9128908138089025
53,The 1 ROC,0.9128908138089025
54,The 1 ROC,0.9128908138089025
55,The 1 ROC,0.9128908138089025
56,The 1 ROC,0.9128908138089025
57,The 1 ROC,0.9128908138089025
58,The 1 ROC,0.9128908138089025
59,The 1 ROC,0.9128908138089025
60,The 1 ROC,0.9128908138089025
61,The 1 ROC,0.9128908138089025
62,The 1 ROC,0.9128908138089025
63,The 1 ROC,0.9128908138089025
64,The 1 ROC,0.9128908138089025
65,The 1 ROC,0.9128908138089025
66,The 1 ROC,0.9128908138089025
67,The 1 ROC,0.9128908138089025
68,The 1 ROC,0.9128908138089025
69,The 1 ROC,0.9128908138089025
70,The 1 ROC,0.9128908138089025
71,The 1 ROC,0.9128908138089025
72,The 1 ROC,0.9128908138089025
73,The 1 ROC,0.9128908138089025
