date,price,tether
11/2/2018,6367.785706,1762210362
11/3/2018,6347.855205,1767539627
11/4/2018,6443.725711,1760433940
11/5/2018,6416.695236,1751551832
11/6/2018,6460.613808,1762210362
11/7/2018,6516.461903,1756881097
11/8/2018,6423.499547,1760433940
11/9/2018,6353.994682,1755104675
11/10/2018,6367.952569,1753328253
11/11/2018,6382.878393,1680825410
11/12/2018,6354.706608,1672293301
11/13/2018,6306.636953,1650109819
11/14/2018,5681.190248,1615981384
11/15/2018,5613.84149,1656935506
11/16/2018,5543.945964,1665467614
11/17/2018,5532.887196,1714267614
11/18/2018,5581.222808,1724806145
11/19/2018,4764.345957,1693190554
11/20/2018,4402.28585,1714294227
11/21/2018,4568.795563,1759454770
11/22/2018,4285.101856,1764874036
11/23/2018,4316.002909,1754035505
11/24/2018,3816.173537,1735971288
11/25/2018,3973.571533,1787734131
11/26/2018,3758.356106,1795159818
11/27/2018,3799.62631,1806298349
11/28/2018,4241.945219,1834144675
11/29/2018,4262.41768,1828575410
11/30/2018,3990.96672,1830431831
12/1/2018,4168.239441,1836001097
12/2/2018,4120.269881,1828575410
12/3/2018,3852.062162,1832288253
12/4/2018,3923.798779,1834144675
12/5/2018,3711.256922,1817436879
12/6/2018,3458.445149,1817436879
12/7/2018,3399.608085,1837857518
12/8/2018,3424.474152,1848996049
12/9/2018,3560.149614,1843426783
12/10/2018,3438.018269,1843426783
12/11/2018,3369.201905,1839713940
12/12/2018,3456.529711,1848996049
12/13/2018,3283.377363,1836001097
12/14/2018,3213.916212,1837857518
12/15/2018,3207.530118,1837857518
12/16/2018,3222.686038,1836001097
12/17/2018,3529.396719,1854565314
12/18/2018,3692.675962,1863847423
12/19/2018,3712.290921,1858278157
12/20/2018,4116.854453,1863847423
12/21/2018,3871.432356,1856421736
12/22/2018,4018.051978,1874985953
12/23/2018,3979.449005,1865703844
12/24/2018,4063.00972,1863847423
12/25/2018,3813.321849,1874985953
12/26/2018,3838.194644,1873129531
12/27/2018,3619.620652,1867560266
12/28/2018,3923.21318,1882320950
12/29/2018,3760.111109,1873030126
12/30/2018,3867.842206,1873030126
12/31/2018,3725.543739,1856835561
1/1/2019,3855.867492,1869846421
1/2/2019,3926.447709,1876740115
1/3/2019,3817.768088,1873283783
1/4/2019,3850.789768,1881274332
1/5/2019,3825.687012,1881274332
1/6/2019,4075.434776,1892472394
1/7/2019,4032.101151,1888632732
1/8/2019,4015.853784,1902008540
1/9/2019,4020.119693,1907354108
1/10/2019,3647.420604,1925867776
1/11/2019,3652.235615,1945718467
1/12/2019,3637.015265,1947646831
1/13/2019,3533.251819,1943790104
1/14/2019,3682.083335,1974865013
1/15/2019,3598.008121,2005648186
1/16/2019,3619.684237,2005455445
1/17/2019,3656.713976,2016869700
1/18/2019,3621.613806,2019183423
1/19/2019,3701.285401,2024216725
1/20/2019,3548.717779,2018168269
1/21/2019,3545.617579,2018663513
1/22/2019,3591.95171,2019163513
1/23/2019,3569.112358,2015129220
1/24/2019,3588.042092,2017251167
1/25/2019,3575.189541,2017251167
1/26/2019,3574.932925,2013216664
1/27/2019,3549.758076,2009182162
1/28/2019,3446.463496,2012767762
1/29/2019,3412.162532,2012767762
1/30/2019,3456.587289,2004689069
1/31/2019,3429.230657,2008730781
2/1/2019,3456.383067,2002668213
2/2/2019,3489.547237,1996605646
2/3/2019,3439.010008,1994584790
2/4/2019,3429.425687,1990543078
2/5/2019,3444.620772,1998626501
2/6/2019,3384.129746,1998871180
2/7/2019,3374.521536,1998871180
2/8/2019,3642.998492,2001188689
2/9/2019,3644.809954,2001188689
2/10/2019,3672.479644,2007252898
2/11/2019,3608.728851,2001244426
2/12/2019,3607.587648,1997201508
2/13/2019,3595.516463,1999222967
2/14/2019,3581.493757,2001244426
2/15/2019,3586.961408,2001244426
2/16/2019,3601.396882,2003265885
2/17/2019,3653.885542,1999222967
2/18/2019,3895.525551,1993158590
2/19/2019,3914.891466,2011351721
2/20/2019,3966.145579,2007308803
2/21/2019,3924.333585,1999222967
2/22/2019,3970.268331,2005287344
2/23/2019,4135.433916,2013373180
2/24/2019,3757.91707,2011351721
2/25/2019,3842.730986,2015394640
2/26/2019,3815.764032,2011351721
