,EMA,average_return
0,The 2 ema,0.1032266648282163
1,The 3 ema,0.1032266648282163
2,The 4 ema,0.1032266648282163
3,The 5 ema,0.1032266648282163
4,The 6 ema,0.1032266648282163
5,The 7 ema,0.1032266648282163
6,The 8 ema,0.1032266648282163
7,The 9 ema,0.1032266648282163
8,The 10 ema,0.1032266648282163
9,The 11 ema,0.1032266648282163
10,The 12 ema,0.1032266648282163
11,The 13 ema,0.1032266648282163
12,The 14 ema,0.1032266648282163
13,The 15 ema,0.1032266648282163
14,The 16 ema,0.1032266648282163
15,The 17 ema,0.1032266648282163
16,The 18 ema,0.1032266648282163
17,The 19 ema,0.1032266648282163
18,The 20 ema,0.1032266648282163
19,The 21 ema,0.1032266648282163
20,The 22 ema,0.1032266648282163
21,The 23 ema,0.1032266648282163
22,The 24 ema,0.1032266648282163
23,The 25 ema,0.1032266648282163
24,The 26 ema,0.1032266648282163
25,The 27 ema,0.1032266648282163
26,The 28 ema,0.1032266648282163
27,The 29 ema,0.1032266648282163
28,The 30 ema,0.1032266648282163
29,The 31 ema,0.1032266648282163
30,The 32 ema,0.1032266648282163
31,The 33 ema,0.1032266648282163
32,The 34 ema,0.1032266648282163
33,The 35 ema,0.1032266648282163
34,The 36 ema,0.1032266648282163
35,The 37 ema,0.1032266648282163
36,The 38 ema,0.1032266648282163
37,The 39 ema,0.1032266648282163
38,The 40 ema,0.1032266648282163
39,The 41 ema,0.1032266648282163
40,The 42 ema,0.1032266648282163
41,The 43 ema,0.1032266648282163
42,The 44 ema,0.1032266648282163
43,The 45 ema,0.1032266648282163
44,The 46 ema,0.1032266648282163
45,The 47 ema,0.1032266648282163
46,The 48 ema,0.1032266648282163
47,The 49 ema,0.1032266648282163
48,The 50 ema,0.1032266648282163
49,The 51 ema,0.1032266648282163
50,The 52 ema,0.1032266648282163
51,The 53 ema,0.1032266648282163
52,The 54 ema,0.1032266648282163
53,The 55 ema,0.1032266648282163
54,The 56 ema,0.1032266648282163
55,The 57 ema,0.1032266648282163
56,The 58 ema,0.1032266648282163
57,The 59 ema,0.1032266648282163
58,The 60 ema,0.1032266648282163
59,The 61 ema,0.1032266648282163
60,The 62 ema,0.1032266648282163
61,The 63 ema,0.1032266648282163
62,The 64 ema,0.1032266648282163
63,The 65 ema,0.1032266648282163
64,The 66 ema,0.1032266648282163
65,The 67 ema,0.1032266648282163
66,The 68 ema,0.1032266648282163
67,The 69 ema,0.1032266648282163
68,The 70 ema,0.1032266648282163
69,The 71 ema,0.1032266648282163
70,The 72 ema,0.1032266648282163
71,The 73 ema,0.1032266648282163
72,The 74 ema,0.1032266648282163
73,The 75 ema,0.1032266648282163
74,The 76 ema,0.1032266648282163
75,The 77 ema,0.1032266648282163
76,The 78 ema,0.1032266648282163
77,The 79 ema,0.1032266648282163
78,The 80 ema,0.1032266648282163
79,The 81 ema,0.1032266648282163
80,The 82 ema,0.1032266648282163
81,The 83 ema,0.1032266648282163
82,The 84 ema,0.1032266648282163
83,The 85 ema,0.1032266648282163
84,The 86 ema,0.1032266648282163
85,The 87 ema,0.1032266648282163
86,The 88 ema,0.1032266648282163
87,The 89 ema,0.1032266648282163
88,The 90 ema,0.1032266648282163
89,The 91 ema,0.1032266648282163
90,The 92 ema,0.1032266648282163
91,The 93 ema,0.1032266648282163
92,The 94 ema,0.1032266648282163
93,The 95 ema,0.1032266648282163
94,The 96 ema,0.1032266648282163
95,The 97 ema,0.1032266648282163
96,The 98 ema,0.1032266648282163
97,The 99 ema,0.1032266648282163
98,The 100 ema,0.1032266648282163
99,The 101 ema,0.1032266648282163
100,The 102 ema,0.1032266648282163
101,The 103 ema,0.1032266648282163
102,The 104 ema,0.1032266648282163
103,The 105 ema,0.1032266648282163
104,The 106 ema,0.1032266648282163
105,The 107 ema,0.1032266648282163
106,The 108 ema,0.1032266648282163
107,The 109 ema,0.1032266648282163
108,The 110 ema,0.1032266648282163
109,The 111 ema,0.1032266648282163
110,The 112 ema,0.1032266648282163
111,The 113 ema,0.1032266648282163
112,The 114 ema,0.1032266648282163
113,The 115 ema,0.1032266648282163
114,The 116 ema,0.1032266648282163
115,The 117 ema,0.1032266648282163
116,The 118 ema,0.1032266648282163
117,The 119 ema,0.1032266648282163
118,The 120 ema,0.1032266648282163
119,The 121 ema,0.1032266648282163
120,The 122 ema,0.1032266648282163
121,The 123 ema,0.1032266648282163
122,The 124 ema,0.1032266648282163
123,The 125 ema,0.1032266648282163
124,The 126 ema,0.1032266648282163
125,The 127 ema,0.1032266648282163
126,The 128 ema,0.1032266648282163
127,The 129 ema,0.1032266648282163
128,The 130 ema,0.1032266648282163
129,The 131 ema,0.1032266648282163
130,The 132 ema,0.1032266648282163
131,The 133 ema,0.1032266648282163
132,The 134 ema,0.1032266648282163
133,The 135 ema,0.1032266648282163
134,The 136 ema,0.1032266648282163
135,The 137 ema,0.1032266648282163
136,The 138 ema,0.1032266648282163
137,The 139 ema,0.1032266648282163
138,The 140 ema,0.1032266648282163
139,The 141 ema,0.1032266648282163
140,The 142 ema,0.1032266648282163
141,The 143 ema,0.1032266648282163
142,The 144 ema,0.1032266648282163
143,The 145 ema,0.1032266648282163
144,The 146 ema,0.1032266648282163
145,The 147 ema,0.1032266648282163
146,The 148 ema,0.1032266648282163
147,The 149 ema,0.1032266648282163
148,The 150 ema,0.1032266648282163
149,The 151 ema,0.1032266648282163
150,The 152 ema,0.1032266648282163
151,The 153 ema,0.1032266648282163
152,The 154 ema,0.1032266648282163
153,The 155 ema,0.1032266648282163
154,The 156 ema,0.1032266648282163
